Ticker,Exchange,Company,Sector,Industry,Employees,Currency,Metric,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,TTM
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Revenue %,,,,,,,,,,,,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Year Over Year,,-9.56,-4.10,-16.15,-3.40,-9.64,32.12,15.66,3.53,-15.79,16.54,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,3-Year Average,,-2.55,-5.46,-10.07,-8.07,-9.88,4.87,11.35,16.52,0.28,0.53,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,5-Year Average,,-,-,-5.74,-7.30,-8.69,-1.50,2.26,6.67,3.78,9.2,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,10-Year Average,,-,-,-,-,-,-,-,0.27,-1.92,-0.14,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Operating Income %,,,,,,,,,,,,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Year Over Year,,-22.09,14.13,-28.80,1.23,-18.49,73.65,-0.42,-4.6,-10.57,42.34,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,3-Year Average,,-7.61,-10.10,-14.13,-6.30,-16.24,12.74,12.12,18.16,-5.29,6.69,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,5-Year Average,,-,-,-8.52,-12.13,-12.18,3.09,0.32,6.36,3.76,15.99,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,10-Year Average,,-,-,-,-,-,-,-,-1.36,-4.52,0.93,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Net Income %,,,,,,,,,,,,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Year Over Year,,-36.29,18.78,-46.86,0.29,-8.56,60.44,-34.22,68.37,-1.74,33.26,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,3-Year Average,,-12.01,-12.00,-26.19,-14.14,-21.30,13.74,-1.18,21.13,2.86,30.15,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,5-Year Average,,-,-,-15.53,-18.33,-18.09,-1.47,-12.45,10.26,9.81,18.4,,
