Ticker,Exchange,Company,Sector,Industry,Employees,Currency,Metric,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,TTM
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Return on Asset %,,5.55,6.14,3.09,2.9,2.48,3.91,2.47,4.22,4.49,5.87,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Return on Equity %,,8.93,9.23,4.64,4.54,4.09,6.38,4.1,6.77,6.47,8.32,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Return on Invested Capital %,,8.0,8.28,4.25,4.18,3.64,5.54,3.53,5.47,5.48,7.37,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Days Sales Outstanding,,52.23,51.33,77.28,87.57,94.39,64.64,47.77,52.05,55.64,37.32,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Days Inventory,,101.83,101.52,119.34,130.34,151.41,138.46,150.04,154.37,163.46,135.62,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Payables Period,,79.46,92.31,77.76,69.52,69.64,51.52,60.53,65.9,66.08,68.94,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Cash Conversion Cycle,,74.6,60.55,118.86,148.39,176.16,151.58,137.27,140.51,153.01,103.99,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Recieveables Turnover,,6.99,7.11,4.72,4.17,3.87,5.65,7.64,7.01,6.56,9.78,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Inventory Turnover,,3.58,3.6,3.06,2.8,2.41,2.64,2.43,2.36,2.23,2.69,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Fixed Assets Turnover,,3.31,3.1,2.76,2.34,1.91,2.66,2.65,2.49,2.22,2.93,,
1A1,XSES,Wong Fong Industries Ltd,Industrials,Farm & Heavy Construction Machinery,,SGD,Asset Turnover,,1.09,0.97,0.77,0.7,0.59,0.77,0.85,0.89,0.82,0.93,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Return on Asset %,,-,-,29.77,36.18,45.87,38.02,33.29,23.08,26.30,17.49,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Return on Equity %,,-,-,47.85,56.61,86.14,53.45,39.79,27.33,30.12,19.66,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Return on Invested Capital %,,-,-,44.97,53.39,82.83,52.69,39.34,25.09,27.51,17.73,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Days Sales Outstanding,,-,-,29.08,24.19,29.83,35.10,27.86,19.29,16.30,19.53,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Days Inventory,,-,-,-,-,-,-,-,-,-,-,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Payables Period,,-,-,21.16,12.38,17.20,12.67,6.01,7.99,12.98,11.24,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Cash Conversion Cycle,,-,-,-,-,-,-,-,-,-,-,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Recieveables Turnover,,-,-,12.55,15.09,12.23,10.40,13.10,18.92,22.40,18.69,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Inventory Turnover,,-,-,-,-,-,-,-,-,-,-,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Fixed Assets Turnover,,-,-,16.33,22.79,32.44,49.13,50.13,33.35,23.78,22.17,,
1AZ,XSES,Audience Analytics Ltd Ordinary Shares,Industrials,Consulting Services,,SGD,Asset Turnover,,-,-,1.02,1.32,1.19,0.89,0.83,0.73,0.69,0.63,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Return on Asset %,18.48,15.35,16.2,7.07,3.06,0.48,-13.34,-5.82,-23.89,-1.28,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Return on Equity %,44.54,29.53,30.57,19.67,9.65,1.54,-52.72,-24.38,-113.8,-9.11,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Return on Invested Capital %,42.01,28.99,28.02,15.79,9.29,3.2,-14.59,-5.35,-32.14,3.28,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Days Sales Outstanding,194.3,174.89,104.04,122.98,143.4,157.04,398.6,232.3,189.66,142.63,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Days Inventory,77.75,46.07,3.32,12.6,8.83,0.97,5.91,5.45,3.1,2.0,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Payables Period,323.81,352.24,254.73,153.04,146.69,148.07,213.47,149.16,117.96,85.36,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Cash Conversion Cycle,-51.76,-131.28,-147.37,-17.45,5.54,9.94,191.03,88.6,74.81,59.28,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Recieveables Turnover,1.88,2.09,3.51,2.97,2.55,2.32,0.92,1.57,1.92,2.56,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Inventory Turnover,4.69,7.92,110.07,28.97,41.34,377.77,61.79,66.93,117.61,182.22,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Fixed Assets Turnover,244.09,20.46,12.91,7.33,6.86,3.16,0.75,1.53,3.58,12.27,,,
1B0,XSES,mm2 Asia Ltd,Communication Services,Entertainment,,SGD,Asset Turnover,0.88,0.72,0.83,0.51,0.43,0.34,0.11,0.19,0.27,0.45,,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Return on Asset %,,71.38,11.21,23.37,29.26,12.27,23.99,18.98,9.38,13.01,30.62,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Return on Equity %,,100.16,12.92,29.24,39.4,19.35,61.29,61.27,25.27,28.71,47.36,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Return on Invested Capital %,,136.87,14.93,26.85,36.31,14.69,38.37,36.49,16.85,21.24,39.95,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Days Sales Outstanding,,31.71,34.3,26.29,33.06,27.66,17.56,24.03,21.41,23.22,22.58,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Days Inventory,,11.34,30.42,36.73,48.55,73.66,47.14,48.39,57.01,52.03,47.88,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Payables Period,,148.18,341.4,144.7,24.69,28.67,24.37,28.09,15.14,9.74,13.4,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Cash Conversion Cycle,,-105.13,-276.68,-81.68,56.92,72.65,40.32,44.33,63.28,65.51,57.06,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Recieveables Turnover,,11.51,10.64,13.88,11.04,13.19,20.79,15.19,17.05,15.72,16.17,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Inventory Turnover,,32.2,12.0,9.94,7.52,4.96,7.74,7.54,6.4,7.01,7.62,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Fixed Assets Turnover,,16.26,9.61,11.45,14.9,5.99,4.99,4.41,4.56,4.44,4.95,,
1B1,XSES,HC Surgical Specialists Ltd,Healthcare,Diagnostics & Research,,SGD,Asset Turnover,,1.83,0.81,0.84,0.74,0.59,0.7,0.57,0.61,0.64,0.69,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Return on Asset %,,2.01,5.89,-11.82,-11.2,-5.61,0.87,-0.96,-3.74,-0.13,2.23,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Return on Equity %,,2.53,8.41,-17.07,-16.79,-9.9,1.61,-1.67,-6.42,-0.22,3.68,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Return on Invested Capital %,,2.28,7.12,-13.58,-12.92,-5.85,1.61,-0.49,-3.55,0.7,3.57,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Days Sales Outstanding,,389.57,114.79,155.55,141.54,147.3,132.47,97.13,102.64,121.99,117.09,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Days Inventory,,15.06,1.75,58.65,106.82,56.39,3.67,3.15,3.18,3.43,2.37,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Payables Period,,781.28,97.34,82.01,77.64,85.45,81.01,63.07,71.07,82.12,83.51,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Cash Conversion Cycle,,-376.65,19.21,132.19,170.72,118.24,55.12,37.21,34.75,43.29,35.95,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Recieveables Turnover,,0.94,3.18,2.35,2.58,2.48,2.76,3.76,3.56,2.99,3.12,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Inventory Turnover,,24.23,208.37,6.22,3.42,6.47,99.53,115.74,114.9,106.5,153.82,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Fixed Assets Turnover,,0.39,1.96,2.08,2.11,2.02,2.09,2.7,2.91,2.98,3.76,,
1B6,XSES,Ocean Sky International Ltd,Industrials,Engineering & Construction,,SGD,Asset Turnover,,0.06,0.34,0.27,0.32,0.31,0.3,0.4,0.44,0.45,0.56,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Return on Asset %,,56.4,28.65,19.72,16.94,11.44,12.16,9.95,10.56,9.02,8.32,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Return on Equity %,,212.67,51.16,27.83,23.39,25.47,32.25,23.07,21.58,18.41,17.71,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Return on Invested Capital %,,212.74,51.55,27.27,21.83,15.25,15.53,13.05,13.64,11.66,11.13,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Days Sales Outstanding,,0.48,0.97,1.56,1.88,2.32,1.88,1.66,3.06,3.9,4.84,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Days Inventory,,3.14,2.79,2.4,2.33,3.35,3.59,4.36,5.93,4.93,4.48,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Payables Period,,15.26,32.35,29.94,14.39,18.65,18.4,14.49,16.7,16.22,16.28,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Cash Conversion Cycle,,-11.64,-28.58,-25.99,-10.18,-12.98,-12.92,-8.47,-7.72,-7.4,-6.96,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Recieveables Turnover,,757.04,375.24,234.59,194.4,157.29,194.02,219.82,119.38,93.65,75.41,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Inventory Turnover,,116.15,130.67,152.28,156.35,109.02,101.66,83.8,61.57,74.01,81.45,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Fixed Assets Turnover,,43.77,30.43,21.44,20.78,1.93,1.19,1.73,1.96,1.83,1.47,,
1D0,XSES,Kimly Ltd,Consumer Cyclical,Restaurants,,SGD,Asset Turnover,,4.04,2.57,1.82,1.76,0.96,0.74,0.93,0.91,0.87,0.81,,
1D1,XSES,UnUsUaL Ltd,Communication Services,Advertising Agencies,,SGD,Return on Asset %,,-,-,26.87,18.68,6.59,-10.08,-5.84,2.53,11.53,-46.93,,
1D1,XSES,UnUsUaL Ltd,Communication Services,Advertising Agencies,,SGD,Return on Equity %,,-,-,38.62,28.49,10.84,-15.63,-8.96,3.88,15.60,-58.96,,
1D1,XSES,UnUsUaL Ltd,Communication Services,Advertising Agencies,,SGD,Return on Invested Capital %,,-,-,37.88,27.23,9.77,-10.78,-5.75,3.81,13.89,-56.12,,
1D1,XSES,UnUsUaL Ltd,Communication Services,Advertising Agencies,,SGD,Days Sales Outstanding,,-,-,47.27,93.22,95.74,3267.21,1026.29,125.48,37.42,26.32,,
1D1,XSES,UnUsUaL Ltd,Communication Services,Advertising Agencies,,SGD,Days Inventory,,-,-,1.04,0.36,0.08,0.3,-,-,-,-,,
1D1,XSES,UnUsUaL Ltd,Communication Services,Advertising Agencies,,SGD,Payables Period,,-,-,97.62,127.99,87.83,314.94,68.54,19.72,13.79,13.53,,
